Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.1289	0.1715	25000	125000
2	Spectrogram 1	1	0.1929	0.291	25000	125000
3	Spectrogram 1	1	0.3123	0.3507	25000	125000
4	Spectrogram 1	1	0.3806	0.4233	25000	125000
5	Spectrogram 1	1	0.4617	0.5086	25000	125000
6	Spectrogram 1	1	0.5726	0.6281	25000	125000
7	Spectrogram 1	1	0.9097	0.9694	25000	125000
8	Spectrogram 1	1	1.3875	1.4302	25000	125000
9	Spectrogram 1	1	1.4473	1.4942	25000	125000
10	Spectrogram 1	1	1.7758	1.9763	25000	125000
