Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.1374	0.1971	25000	125000
2	Spectrogram 1	1	0.2782	0.3721	25000	125000
3	Spectrogram 1	1	0.4318	0.5214	25000	125000
4	Spectrogram 1	1	0.5598	0.7091	25000	125000
5	Spectrogram 1	1	0.7518	0.8158	25000	125000
6	Spectrogram 1	1	0.9779	1.0931	25000	125000
7	Spectrogram 1	1	1.1443	1.3278	25000	125000
8	Spectrogram 1	1	1.3619	1.5667	25000	125000
9	Spectrogram 1	1	1.6094	1.7715	25000	125000
10	Spectrogram 1	1	1.8099	1.9294	25000	125000
