Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0393	0.1118	25000	125000
2	Spectrogram 1	1	0.4062	0.4659	25000	125000
3	Spectrogram 1	1	0.4787	0.6366	25000	125000
4	Spectrogram 1	1	0.6622	0.8073	25000	125000
5	Spectrogram 1	1	0.8371	0.9865	25000	125000
6	Spectrogram 1	1	0.995	1.1401	25000	125000
7	Spectrogram 1	1	1.1614	1.251	25000	125000
8	Spectrogram 1	1	1.2681	1.3833	25000	125000
9	Spectrogram 1	1	1.3961	1.5369	25000	125000
10	Spectrogram 1	1	1.5539	1.6435	25000	125000
