Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0649	25000	125000
2	Spectrogram 1	1	0.1331	0.227	25000	125000
3	Spectrogram 1	1	0.2739	0.3209	25000	125000
4	Spectrogram 1	1	0.4147	0.6195	25000	125000
5	Spectrogram 1	1	0.675	0.8841	25000	125000
6	Spectrogram 1	1	0.9353	1.1017	25000	125000
7	Spectrogram 1	1	1.1529	1.2638	25000	125000
8	Spectrogram 1	1	1.2894	1.4857	25000	125000
9	Spectrogram 1	1	1.699	1.7715	25000	125000
10	Spectrogram 1	1	1.8185	1.8867	25000	125000
