Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0649	25000	125000
2	Spectrogram 1	1	0.1246	0.163	25000	125000
3	Spectrogram 1	1	0.5385	0.5769	25000	125000
4	Spectrogram 1	1	0.6494	0.6921	25000	125000
5	Spectrogram 1	1	0.9651	0.9993	25000	125000
6	Spectrogram 1	1	1.0803	1.1657	25000	125000
7	Spectrogram 1	1	1.2297	1.2979	25000	125000
8	Spectrogram 1	1	1.3534	1.4217	25000	125000
9	Spectrogram 1	1	1.4814	1.5411	25000	125000
10	Spectrogram 1	1	1.6222	1.6862	25000	125000
11	Spectrogram 1	1	1.7715	1.8398	25000	125000
12	Spectrogram 1	1	1.8995	1.9763	25000	125000
