Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1075	25000	125000
2	Spectrogram 1	1	0.1545	0.2313	25000	125000
3	Spectrogram 1	1	0.2654	0.3635	25000	125000
4	Spectrogram 1	1	0.3977	0.4617	25000	125000
5	Spectrogram 1	1	0.4958	0.6494	25000	125000
6	Spectrogram 1	1	0.675	0.7433	25000	125000
7	Spectrogram 1	1	1.0803	1.1401	25000	125000
8	Spectrogram 1	1	1.1827	1.2553	25000	125000
9	Spectrogram 1	1	1.2766	1.3278	25000	125000
10	Spectrogram 1	1	1.3619	1.4345	25000	125000
11	Spectrogram 1	1	1.4686	1.5966	25000	125000
12	Spectrogram 1	1	1.6137	1.7203	25000	125000
13	Spectrogram 1	1	1.7459	1.8057	25000	125000
14	Spectrogram 1	1	1.8355	1.9763	25000	125000
