Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1075	25000	125000
2	Spectrogram 1	1	0.1331	0.2611	25000	125000
3	Spectrogram 1	1	0.291	0.3721	25000	125000
4	Spectrogram 1	1	0.4105	0.5769	25000	125000
5	Spectrogram 1	1	0.6195	0.7817	25000	125000
6	Spectrogram 1	1	0.8115	0.8926	25000	125000
7	Spectrogram 1	1	0.9267	0.995	25000	125000
8	Spectrogram 1	1	1.0462	1.1443	25000	125000
9	Spectrogram 1	1	1.1827	1.315	25000	125000
10	Spectrogram 1	1	1.3491	1.4899	25000	125000
11	Spectrogram 1	1	1.5326	1.6905	25000	125000
