Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0649	25000	125000
2	Spectrogram 1	1	0.0905	0.1502	25000	125000
3	Spectrogram 1	1	0.1843	0.2355	25000	125000
4	Spectrogram 1	1	0.2569	0.4019	25000	125000
5	Spectrogram 1	1	0.4233	0.5897	25000	125000
6	Spectrogram 1	1	0.611	0.7049	25000	125000
7	Spectrogram 1	1	0.7134	0.8755	25000	125000
8	Spectrogram 1	1	0.9054	1.0377	25000	125000
9	Spectrogram 1	1	1.059	1.2041	25000	125000
10	Spectrogram 1	1	1.2211	1.3406	25000	125000
11	Spectrogram 1	1	1.3619	1.5539	25000	125000
12	Spectrogram 1	1	1.571	1.6947	25000	125000
13	Spectrogram 1	1	1.7161	1.7886	25000	125000
14	Spectrogram 1	1	1.8142	1.8995	25000	125000
15	Spectrogram 1	1	1.9251	1.9763	25000	125000
