Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0393	25000	125000
2	Spectrogram 1	1	0.0691	0.2483	25000	125000
3	Spectrogram 1	1	0.2697	0.4318	25000	125000
4	Spectrogram 1	1	0.4489	0.5001	25000	125000
5	Spectrogram 1	1	0.5299	0.6067	25000	125000
6	Spectrogram 1	1	0.8286	0.8969	25000	125000
7	Spectrogram 1	1	0.9267	0.9779	25000	125000
8	Spectrogram 1	1	1.0163	1.1017	25000	125000
9	Spectrogram 1	1	1.1358	1.1827	25000	125000
10	Spectrogram 1	1	1.3235	1.3705	25000	125000
11	Spectrogram 1	1	1.8611	1.9081	25000	125000
