Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0777	25000	125000
2	Spectrogram 1	1	0.1161	0.2697	25000	125000
3	Spectrogram 1	1	0.2995	0.3763	25000	125000
4	Spectrogram 1	1	0.4147	0.5555	25000	125000
5	Spectrogram 1	1	0.611	0.6707	25000	125000
6	Spectrogram 1	1	0.7177	0.803	25000	125000
7	Spectrogram 1	1	0.8414	0.931	25000	125000
8	Spectrogram 1	1	0.9481	1.0547	25000	125000
9	Spectrogram 1	1	1.0803	1.123	25000	125000
10	Spectrogram 1	1	1.3406	1.3961	25000	125000
11	Spectrogram 1	1	1.4387	1.5241	25000	125000
12	Spectrogram 1	1	1.5625	1.699	25000	125000
13	Spectrogram 1	1	1.7545	1.8355	25000	125000
14	Spectrogram 1	1	1.8697	1.955	25000	125000
