Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.803	0.867	25000	125000
2	Spectrogram 1	1	0.9182	1.0163	25000	125000
3	Spectrogram 1	1	1.0377	1.1529	25000	125000
4	Spectrogram 1	1	1.1742	1.3918	25000	125000
5	Spectrogram 1	1	1.4174	1.4729	25000	125000
6	Spectrogram 1	1	1.5113	1.5753	25000	125000
7	Spectrogram 1	1	1.6051	1.7033	25000	125000
8	Spectrogram 1	1	1.7331	1.8099	25000	125000
9	Spectrogram 1	1	1.8611	1.9294	25000	125000
10	Spectrogram 1	1	1.9507	1.9763	25000	125000
