Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.1886	0.3763	25000	125000
2	Spectrogram 1	1	0.4489	0.5385	25000	125000
3	Spectrogram 1	1	0.5513	0.675	25000	125000
4	Spectrogram 1	1	0.7006	0.7731	25000	125000
5	Spectrogram 1	1	0.7859	0.9139	25000	125000
6	Spectrogram 1	1	0.9481	1.059	25000	125000
7	Spectrogram 1	1	1.0974	1.1699	25000	125000
8	Spectrogram 1	1	1.1827	1.2723	25000	125000
9	Spectrogram 1	1	1.3321	1.4302	25000	125000
10	Spectrogram 1	1	1.4515	1.5795	25000	125000
11	Spectrogram 1	1	1.635	1.7289	25000	125000
12	Spectrogram 1	1	1.8483	1.9763	25000	125000
