Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.035	25000	125000
2	Spectrogram 1	1	0.0777	0.3038	25000	125000
3	Spectrogram 1	1	0.3123	0.5257	25000	125000
4	Spectrogram 1	1	0.547	0.7305	25000	125000
5	Spectrogram 1	1	0.7603	0.9523	25000	125000
6	Spectrogram 1	1	0.9822	1.1699	25000	125000
7	Spectrogram 1	1	1.2211	1.4131	25000	125000
8	Spectrogram 1	1	1.4302	1.6179	25000	125000
9	Spectrogram 1	1	1.6393	1.8057	25000	125000
10	Spectrogram 1	1	1.8355	1.9763	25000	125000
