Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0435	25000	125000
2	Spectrogram 1	1	0.0777	0.227	25000	125000
3	Spectrogram 1	1	0.2611	0.4318	25000	125000
4	Spectrogram 1	1	0.4873	0.5555	25000	125000
5	Spectrogram 1	1	0.5726	0.6707	25000	125000
6	Spectrogram 1	1	0.8243	0.9438	25000	125000
7	Spectrogram 1	1	0.9993	1.1529	25000	125000
8	Spectrogram 1	1	1.3918	1.4771	25000	125000
9	Spectrogram 1	1	1.5326	1.6521	25000	125000
10	Spectrogram 1	1	1.8611	1.9763	25000	125000
