Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0606	25000	125000
2	Spectrogram 1	1	0.0862	0.1758	25000	125000
3	Spectrogram 1	1	0.2355	0.4019	25000	125000
4	Spectrogram 1	1	0.4361	0.6451	25000	125000
5	Spectrogram 1	1	0.6665	0.8158	25000	125000
6	Spectrogram 1	1	0.8457	0.9566	25000	125000
7	Spectrogram 1	1	0.9779	1.1443	25000	125000
8	Spectrogram 1	1	1.1742	1.3491	25000	125000
9	Spectrogram 1	1	1.3705	1.4686	25000	125000
10	Spectrogram 1	1	1.4857	1.6435	25000	125000
11	Spectrogram 1	1	1.6691	1.8227	25000	125000
12	Spectrogram 1	1	1.9507	1.9763	25000	125000
