Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1161	25000	125000
2	Spectrogram 1	1	0.1417	0.2739	25000	125000
3	Spectrogram 1	1	0.291	0.4659	25000	125000
4	Spectrogram 1	1	0.483	0.6323	25000	125000
5	Spectrogram 1	1	0.6579	0.8115	25000	125000
6	Spectrogram 1	1	0.8457	0.9481	25000	125000
7	Spectrogram 1	1	0.9694	1.0547	25000	125000
8	Spectrogram 1	1	1.1059	1.2595	25000	125000
9	Spectrogram 1	1	1.2851	1.4345	25000	125000
10	Spectrogram 1	1	1.4515	1.5283	25000	125000
11	Spectrogram 1	1	1.5411	1.6137	25000	125000
12	Spectrogram 1	1	1.6307	1.7161	25000	125000
13	Spectrogram 1	1	1.7246	1.7929	25000	125000
14	Spectrogram 1	1	1.8313	1.9166	25000	125000
15	Spectrogram 1	1	1.9337	1.9763	25000	125000
