Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0691	0.2611	25000	125000
2	Spectrogram 1	1	0.3294	0.4105	25000	125000
3	Spectrogram 1	1	0.4659	0.5598	25000	125000
4	Spectrogram 1	1	0.5939	0.6366	25000	125000
5	Spectrogram 1	1	0.7049	0.8201	25000	125000
6	Spectrogram 1	1	0.9694	1.1017	25000	125000
7	Spectrogram 1	1	1.1401	1.1827	25000	125000
8	Spectrogram 1	1	1.2425	1.2937	25000	125000
9	Spectrogram 1	1	1.3875	1.4473	25000	125000
10	Spectrogram 1	1	1.5838	1.7118	25000	125000
