Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0691	0.2355	25000	125000
2	Spectrogram 1	1	0.2611	0.3593	25000	125000
3	Spectrogram 1	1	0.3977	0.4873	25000	125000
4	Spectrogram 1	1	0.5555	0.6537	25000	125000
5	Spectrogram 1	1	0.6921	0.7902	25000	125000
6	Spectrogram 1	1	0.8286	1.0249	25000	125000
7	Spectrogram 1	1	1.0547	1.2467	25000	125000
8	Spectrogram 1	1	1.2851	1.3662	25000	125000
9	Spectrogram 1	1	1.4089	1.5326	25000	125000
10	Spectrogram 1	1	1.5497	1.635	25000	125000
11	Spectrogram 1	1	1.6734	1.7459	25000	125000
12	Spectrogram 1	1	1.7715	1.8526	25000	125000
13	Spectrogram 1	1	1.8739	1.9593	25000	125000
