Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0777	25000	125000
2	Spectrogram 1	1	0.1246	0.2867	25000	125000
3	Spectrogram 1	1	0.3209	0.5001	25000	125000
4	Spectrogram 1	1	0.5513	0.7475	25000	125000
5	Spectrogram 1	1	0.9609	1.0547	25000	125000
6	Spectrogram 1	1	1.1059	1.2638	25000	125000
7	Spectrogram 1	1	1.3022	1.4942	25000	125000
8	Spectrogram 1	1	1.5369	1.7033	25000	125000
9	Spectrogram 1	1	1.7289	1.8867	25000	125000
10	Spectrogram 1	1	1.9123	1.9763	25000	125000
