Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1673	25000	125000
2	Spectrogram 1	1	0.2014	0.2526	25000	125000
3	Spectrogram 1	1	0.291	0.4062	25000	125000
4	Spectrogram 1	1	0.419	0.7134	25000	125000
5	Spectrogram 1	1	0.739	0.8371	25000	125000
6	Spectrogram 1	1	0.8542	0.9182	25000	125000
7	Spectrogram 1	1	0.9438	1.1273	25000	125000
8	Spectrogram 1	1	1.1401	1.2339	25000	125000
9	Spectrogram 1	1	1.2425	1.3065	25000	125000
10	Spectrogram 1	1	1.3235	1.4643	25000	125000
11	Spectrogram 1	1	1.4942	1.5454	25000	125000
12	Spectrogram 1	1	1.5838	1.6563	25000	125000
13	Spectrogram 1	1	1.6691	1.7161	25000	125000
14	Spectrogram 1	1	1.7417	1.7929	25000	125000
15	Spectrogram 1	1	1.8142	1.8611	25000	125000
