Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1203	25000	125000
2	Spectrogram 1	1	0.1502	0.2569	25000	125000
3	Spectrogram 1	1	0.2739	0.3891	25000	125000
4	Spectrogram 1	1	0.4233	0.4787	25000	125000
5	Spectrogram 1	1	0.5171	0.675	25000	125000
6	Spectrogram 1	1	0.7049	0.8371	25000	125000
7	Spectrogram 1	1	0.8457	0.9907	25000	125000
8	Spectrogram 1	1	1.0291	1.1102	25000	125000
9	Spectrogram 1	1	1.1486	1.2638	25000	125000
10	Spectrogram 1	1	1.2851	1.3577	25000	125000
11	Spectrogram 1	1	1.3961	1.4771	25000	125000
12	Spectrogram 1	1	1.7587	1.8099	25000	125000
13	Spectrogram 1	1	1.8739	1.9251	25000	125000
