Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0435	25000	125000
2	Spectrogram 1	1	0.0777	0.2441	25000	125000
3	Spectrogram 1	1	0.2697	0.419	25000	125000
4	Spectrogram 1	1	0.4403	0.5683	25000	125000
5	Spectrogram 1	1	0.5897	0.7219	25000	125000
6	Spectrogram 1	1	0.7603	0.8755	25000	125000
7	Spectrogram 1	1	0.9054	0.9779	25000	125000
8	Spectrogram 1	1	1.0334	1.1742	25000	125000
9	Spectrogram 1	1	1.2254	1.3833	25000	125000
10	Spectrogram 1	1	1.4345	1.6179	25000	125000
11	Spectrogram 1	1	1.6734	1.8185	25000	125000
12	Spectrogram 1	1	1.8355	1.9166	25000	125000
13	Spectrogram 1	1	1.9422	1.9763	25000	125000
