Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0649	25000	125000
2	Spectrogram 1	1	0.099	0.2014	25000	125000
3	Spectrogram 1	1	0.2995	0.419	25000	125000
4	Spectrogram 1	1	0.4659	0.6537	25000	125000
5	Spectrogram 1	1	0.8115	0.9566	25000	125000
6	Spectrogram 1	1	0.9907	1.1529	25000	125000
7	Spectrogram 1	1	1.1785	1.3321	25000	125000
8	Spectrogram 1	1	1.3577	1.5283	25000	125000
9	Spectrogram 1	1	1.571	1.6819	25000	125000
10	Spectrogram 1	1	1.7075	1.8099	25000	125000
