Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1715	25000	125000
2	Spectrogram 1	1	0.5299	0.6793	25000	125000
3	Spectrogram 1	1	0.7006	0.8585	25000	125000
4	Spectrogram 1	1	0.8798	0.9651	25000	125000
5	Spectrogram 1	1	0.9865	1.0718	25000	125000
6	Spectrogram 1	1	1.0974	1.1571	25000	125000
7	Spectrogram 1	1	1.1955	1.251	25000	125000
8	Spectrogram 1	1	1.2809	1.379	25000	125000
9	Spectrogram 1	1	1.4003	1.4686	25000	125000
10	Spectrogram 1	1	1.4857	1.5497	25000	125000
11	Spectrogram 1	1	1.7929	1.8526	25000	125000
