Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0563	0.1161	25000	125000
2	Spectrogram 1	1	0.1673	0.2697	25000	125000
3	Spectrogram 1	1	0.2867	0.4062	25000	125000
4	Spectrogram 1	1	0.4446	0.5043	25000	125000
5	Spectrogram 1	1	0.5555	0.6921	25000	125000
6	Spectrogram 1	1	0.7262	0.8286	25000	125000
7	Spectrogram 1	1	0.8542	0.9182	25000	125000
8	Spectrogram 1	1	0.9993	1.1102	25000	125000
9	Spectrogram 1	1	1.1614	1.2979	25000	125000
10	Spectrogram 1	1	1.3363	1.4643	25000	125000
11	Spectrogram 1	1	1.4899	1.5667	25000	125000
12	Spectrogram 1	1	1.6051	1.7246	25000	125000
13	Spectrogram 1	1	1.7545	1.7971	25000	125000
