Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0649	25000	125000
2	Spectrogram 1	1	0.1118	0.2227	25000	125000
3	Spectrogram 1	1	0.3507	0.5427	25000	125000
4	Spectrogram 1	1	0.5897	0.8414	25000	125000
5	Spectrogram 1	1	0.8926	1.1145	25000	125000
6	Spectrogram 1	1	1.1529	1.2339	25000	125000
7	Spectrogram 1	1	1.2894	1.3918	25000	125000
8	Spectrogram 1	1	1.4387	1.6393	25000	125000
9	Spectrogram 1	1	1.6777	1.8185	25000	125000
10	Spectrogram 1	1	1.8995	1.9763	25000	125000
