Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0393	25000	125000
2	Spectrogram 1	1	0.0606	0.1033	25000	125000
3	Spectrogram 1	1	0.1374	0.2867	25000	125000
4	Spectrogram 1	1	0.3081	0.419	25000	125000
5	Spectrogram 1	1	0.4403	0.6921	25000	125000
6	Spectrogram 1	1	0.7433	0.9395	25000	125000
7	Spectrogram 1	1	0.9822	1.1145	25000	125000
8	Spectrogram 1	1	1.1486	1.2937	25000	125000
9	Spectrogram 1	1	1.3065	1.5113	25000	125000
10	Spectrogram 1	1	1.5497	1.6478	25000	125000
11	Spectrogram 1	1	1.8185	1.9379	25000	125000
