Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0307	25000	125000
2	Spectrogram 1	1	0.0862	0.1417	25000	125000
3	Spectrogram 1	1	0.2057	0.2569	25000	125000
4	Spectrogram 1	1	0.3123	0.3891	25000	125000
5	Spectrogram 1	1	0.4531	0.5086	25000	125000
6	Spectrogram 1	1	0.5257	0.6665	25000	125000
7	Spectrogram 1	1	0.7091	0.7689	25000	125000
8	Spectrogram 1	1	0.8286	0.9566	25000	125000
9	Spectrogram 1	1	1.0035	1.0974	25000	125000
10	Spectrogram 1	1	1.1145	1.2937	25000	125000
11	Spectrogram 1	1	1.3193	1.4899	25000	125000
12	Spectrogram 1	1	1.5241	1.7289	25000	125000
13	Spectrogram 1	1	1.9123	1.9763	25000	125000
