Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.035	25000	125000
2	Spectrogram 1	1	0.163	0.2313	25000	125000
3	Spectrogram 1	1	0.2697	0.3123	25000	125000
4	Spectrogram 1	1	0.3635	0.4233	25000	125000
5	Spectrogram 1	1	0.4787	0.5427	25000	125000
6	Spectrogram 1	1	0.5854	0.6537	25000	125000
7	Spectrogram 1	1	0.7006	0.7518	25000	125000
8	Spectrogram 1	1	0.867	0.9481	25000	125000
9	Spectrogram 1	1	1.1742	1.2595	25000	125000
10	Spectrogram 1	1	1.3022	1.4473	25000	125000
11	Spectrogram 1	1	1.4729	1.6606	25000	125000
12	Spectrogram 1	1	1.7758	1.9294	25000	125000
