Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0862	0.1374	25000	125000
2	Spectrogram 1	1	0.1929	0.355	25000	125000
3	Spectrogram 1	1	0.3806	0.5385	25000	125000
4	Spectrogram 1	1	0.5769	0.7049	25000	125000
5	Spectrogram 1	1	0.7262	0.7902	25000	125000
6	Spectrogram 1	1	0.8371	0.9011	25000	125000
7	Spectrogram 1	1	0.931	1.0078	25000	125000
8	Spectrogram 1	1	1.0419	1.0889	25000	125000
9	Spectrogram 1	1	1.1401	1.2041	25000	125000
10	Spectrogram 1	1	1.2425	1.3022	25000	125000
