Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0777	25000	125000
2	Spectrogram 1	1	0.1075	0.1971	25000	125000
3	Spectrogram 1	1	0.227	0.2867	25000	125000
4	Spectrogram 1	1	0.3209	0.3934	25000	125000
5	Spectrogram 1	1	0.5513	0.6323	25000	125000
6	Spectrogram 1	1	0.6793	0.7262	25000	125000
7	Spectrogram 1	1	0.7518	0.803	25000	125000
8	Spectrogram 1	1	0.8585	0.9182	25000	125000
9	Spectrogram 1	1	0.9822	1.0206	25000	125000
10	Spectrogram 1	1	1.1742	1.2339	25000	125000
11	Spectrogram 1	1	1.3406	1.3875	25000	125000
12	Spectrogram 1	1	1.4515	1.5838	25000	125000
13	Spectrogram 1	1	1.7118	1.763	25000	125000
14	Spectrogram 1	1	1.8057	1.8697	25000	125000
15	Spectrogram 1	1	1.9209	1.9763	25000	125000
