Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0947	0.1502	25000	125000
2	Spectrogram 1	1	0.1929	0.2483	25000	125000
3	Spectrogram 1	1	0.291	0.3635	25000	125000
4	Spectrogram 1	1	0.4062	0.4745	25000	125000
5	Spectrogram 1	1	0.5214	0.5854	25000	125000
6	Spectrogram 1	1	0.6323	0.7134	25000	125000
7	Spectrogram 1	1	0.7518	0.8627	25000	125000
8	Spectrogram 1	1	0.8926	0.9694	25000	125000
9	Spectrogram 1	1	1.2211	1.2979	25000	125000
10	Spectrogram 1	1	1.3491	1.4046	25000	125000
