Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1033	25000	125000
2	Spectrogram 1	1	0.163	0.3422	25000	125000
3	Spectrogram 1	1	0.3849	0.4659	25000	125000
4	Spectrogram 1	1	0.5171	0.6835	25000	125000
5	Spectrogram 1	1	0.7347	0.9353	25000	125000
6	Spectrogram 1	1	0.995	1.1614	25000	125000
7	Spectrogram 1	1	1.2041	1.3918	25000	125000
8	Spectrogram 1	1	1.4345	1.6009	25000	125000
9	Spectrogram 1	1	1.6393	1.7886	25000	125000
10	Spectrogram 1	1	1.8355	1.9209	25000	125000
11	Spectrogram 1	1	1.9678	1.9763	25000	125000
