Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0691	25000	125000
2	Spectrogram 1	1	0.099	0.1673	25000	125000
3	Spectrogram 1	1	0.1929	0.2654	25000	125000
4	Spectrogram 1	1	0.6153	0.6707	25000	125000
5	Spectrogram 1	1	0.7219	0.7817	25000	125000
6	Spectrogram 1	1	0.8201	0.9139	25000	125000
7	Spectrogram 1	1	0.9225	0.9822	25000	125000
8	Spectrogram 1	1	1.0163	1.0889	25000	125000
9	Spectrogram 1	1	1.1273	1.1827	25000	125000
10	Spectrogram 1	1	1.2211	1.2723	25000	125000
11	Spectrogram 1	1	1.315	1.4217	25000	125000
12	Spectrogram 1	1	1.4345	1.507	25000	125000
13	Spectrogram 1	1	1.5369	1.5838	25000	125000
14	Spectrogram 1	1	1.7289	1.7801	25000	125000
15	Spectrogram 1	1	1.8313	1.8782	25000	125000
16	Spectrogram 1	1	1.9251	1.9763	25000	125000
