Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0691	0.2014	25000	125000
2	Spectrogram 1	1	0.227	0.3294	25000	125000
3	Spectrogram 1	1	0.3507	0.4403	25000	125000
4	Spectrogram 1	1	0.4659	0.5555	25000	125000
5	Spectrogram 1	1	0.5726	0.7006	25000	125000
6	Spectrogram 1	1	0.7219	0.7817	25000	125000
7	Spectrogram 1	1	0.8158	0.8713	25000	125000
8	Spectrogram 1	1	0.9097	0.9737	25000	125000
9	Spectrogram 1	1	1.0078	1.0931	25000	125000
10	Spectrogram 1	1	1.1187	1.1657	25000	125000
11	Spectrogram 1	1	1.2126	1.2766	25000	125000
12	Spectrogram 1	1	1.3193	1.3577	25000	125000
13	Spectrogram 1	1	1.635	1.699	25000	125000
14	Spectrogram 1	1	1.9635	1.9763	25000	125000
