Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0265	0.0862	25000	125000
2	Spectrogram 1	1	0.1203	0.2014	25000	125000
3	Spectrogram 1	1	0.2185	0.3593	25000	125000
4	Spectrogram 1	1	0.3763	0.4361	25000	125000
5	Spectrogram 1	1	0.4659	0.5427	25000	125000
6	Spectrogram 1	1	0.5683	0.6537	25000	125000
7	Spectrogram 1	1	0.675	0.7262	25000	125000
8	Spectrogram 1	1	0.7689	0.8243	25000	125000
9	Spectrogram 1	1	0.8713	0.9182	25000	125000
10	Spectrogram 1	1	0.9822	1.0377	25000	125000
11	Spectrogram 1	1	1.0889	1.1486	25000	125000
12	Spectrogram 1	1	1.1998	1.2467	25000	125000
13	Spectrogram 1	1	1.3107	1.3705	25000	125000
14	Spectrogram 1	1	1.4174	1.4601	25000	125000
15	Spectrogram 1	1	1.507	1.5582	25000	125000
16	Spectrogram 1	1	1.635	1.6777	25000	125000
