Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.035	0.099	25000	125000
2	Spectrogram 1	1	0.1459	0.2142	25000	125000
3	Spectrogram 1	1	0.2697	0.3507	25000	125000
4	Spectrogram 1	1	0.4147	0.4958	25000	125000
5	Spectrogram 1	1	0.5555	0.6153	25000	125000
6	Spectrogram 1	1	0.6707	0.7305	25000	125000
7	Spectrogram 1	1	0.7859	0.8243	25000	125000
8	Spectrogram 1	1	0.8883	0.9481	25000	125000
9	Spectrogram 1	1	1.0035	1.0462	25000	125000
10	Spectrogram 1	1	1.4302	1.4729	25000	125000
11	Spectrogram 1	1	1.5369	1.6009	25000	125000
12	Spectrogram 1	1	1.6435	1.6947	25000	125000
13	Spectrogram 1	1	1.7502	1.827	25000	125000
14	Spectrogram 1	1	1.8739	1.955	25000	125000
