Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0521	0.1331	25000	125000
2	Spectrogram 1	1	0.163	0.2441	25000	125000
3	Spectrogram 1	1	0.3721	0.5513	25000	125000
4	Spectrogram 1	1	0.5683	0.6579	25000	125000
5	Spectrogram 1	1	0.675	0.7902	25000	125000
6	Spectrogram 1	1	0.8073	0.8841	25000	125000
7	Spectrogram 1	1	0.9011	0.9651	25000	125000
8	Spectrogram 1	1	0.995	1.0462	25000	125000
9	Spectrogram 1	1	1.0889	1.1486	25000	125000
10	Spectrogram 1	1	1.187	1.2382	25000	125000
11	Spectrogram 1	1	1.3022	1.3449	25000	125000
12	Spectrogram 1	1	1.4131	1.4771	25000	125000
13	Spectrogram 1	1	1.6478	1.8398	25000	125000
14	Spectrogram 1	1	1.8867	1.9763	25000	125000
