Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0307	25000	125000
2	Spectrogram 1	1	0.0691	0.1758	25000	125000
3	Spectrogram 1	1	0.3721	0.419	25000	125000
4	Spectrogram 1	1	0.4745	0.5171	25000	125000
5	Spectrogram 1	1	0.5726	0.6195	25000	125000
6	Spectrogram 1	1	0.6793	0.7219	25000	125000
7	Spectrogram 1	1	0.9779	1.0291	25000	125000
8	Spectrogram 1	1	1.0846	1.1273	25000	125000
9	Spectrogram 1	1	1.1955	1.2382	25000	125000
10	Spectrogram 1	1	1.5881	1.6435	25000	125000
11	Spectrogram 1	1	1.6905	1.7545	25000	125000
12	Spectrogram 1	1	1.8099	1.8739	25000	125000
13	Spectrogram 1	1	1.9593	1.9763	25000	125000
