Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0307	25000	125000
2	Spectrogram 1	1	0.0606	0.1929	25000	125000
3	Spectrogram 1	1	0.2227	0.3251	25000	125000
4	Spectrogram 1	1	0.3465	0.4318	25000	125000
5	Spectrogram 1	1	0.4531	0.4915	25000	125000
6	Spectrogram 1	1	0.6238	0.675	25000	125000
7	Spectrogram 1	1	0.7177	0.7817	25000	125000
8	Spectrogram 1	1	0.8201	0.8755	25000	125000
9	Spectrogram 1	1	0.9182	0.9822	25000	125000
10	Spectrogram 1	1	1.0206	1.0718	25000	125000
11	Spectrogram 1	1	1.123	1.1657	25000	125000
12	Spectrogram 1	1	1.2126	1.2809	25000	125000
13	Spectrogram 1	1	1.2979	1.379	25000	125000
14	Spectrogram 1	1	1.4003	1.5625	25000	125000
15	Spectrogram 1	1	1.5795	1.6691	25000	125000
16	Spectrogram 1	1	1.6819	1.763	25000	125000
17	Spectrogram 1	1	1.7758	1.8483	25000	125000
18	Spectrogram 1	1	1.8782	1.9209	25000	125000
19	Spectrogram 1	1	1.9678	1.9763	25000	125000
