Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0606	25000	125000
2	Spectrogram 1	1	0.0905	0.1715	25000	125000
3	Spectrogram 1	1	0.1929	0.2697	25000	125000
4	Spectrogram 1	1	0.2867	0.3721	25000	125000
5	Spectrogram 1	1	0.3891	0.4574	25000	125000
6	Spectrogram 1	1	0.4915	0.5385	25000	125000
7	Spectrogram 1	1	0.6707	0.7177	25000	125000
8	Spectrogram 1	1	0.7646	0.8201	25000	125000
9	Spectrogram 1	1	0.9865	1.0547	25000	125000
10	Spectrogram 1	1	1.1187	1.2595	25000	125000
11	Spectrogram 1	1	1.2809	1.4174	25000	125000
12	Spectrogram 1	1	1.4473	1.5241	25000	125000
13	Spectrogram 1	1	1.5539	1.6435	25000	125000
14	Spectrogram 1	1	1.6905	1.8355	25000	125000
15	Spectrogram 1	1	1.8654	1.9763	25000	125000
