Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0606	0.1459	25000	125000
2	Spectrogram 1	1	0.1587	0.2867	25000	125000
3	Spectrogram 1	1	0.3038	0.4275	25000	125000
4	Spectrogram 1	1	0.4446	0.5257	25000	125000
5	Spectrogram 1	1	0.5598	0.7518	25000	125000
6	Spectrogram 1	1	0.7731	0.9011	25000	125000
7	Spectrogram 1	1	0.931	0.995	25000	125000
8	Spectrogram 1	1	1.0547	1.123	25000	125000
9	Spectrogram 1	1	1.1699	1.3449	25000	125000
10	Spectrogram 1	1	1.3577	1.4259	25000	125000
11	Spectrogram 1	1	1.4558	1.5411	25000	125000
12	Spectrogram 1	1	1.5539	1.6307	25000	125000
13	Spectrogram 1	1	1.6435	1.7203	25000	125000
14	Spectrogram 1	1	1.7331	1.8142	25000	125000
15	Spectrogram 1	1	1.827	1.8867	25000	125000
16	Spectrogram 1	1	1.9209	1.9763	25000	125000
