Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0819	25000	125000
2	Spectrogram 1	1	0.1075	0.2782	25000	125000
3	Spectrogram 1	1	0.2953	0.4361	25000	125000
4	Spectrogram 1	1	0.4489	0.5897	25000	125000
5	Spectrogram 1	1	0.5982	0.8201	25000	125000
6	Spectrogram 1	1	0.8457	0.9822	25000	125000
7	Spectrogram 1	1	1.1017	1.2638	25000	125000
8	Spectrogram 1	1	1.2809	1.3705	25000	125000
9	Spectrogram 1	1	1.4046	1.4643	25000	125000
10	Spectrogram 1	1	1.4942	1.6435	25000	125000
11	Spectrogram 1	1	1.6563	1.7331	25000	125000
12	Spectrogram 1	1	1.7459	1.9209	25000	125000
13	Spectrogram 1	1	1.9635	1.9763	25000	125000
