Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0435	25000	125000
2	Spectrogram 1	1	0.0862	0.1246	25000	125000
3	Spectrogram 1	1	0.1715	0.2313	25000	125000
4	Spectrogram 1	1	0.291	0.3294	25000	125000
5	Spectrogram 1	1	0.3806	0.4147	25000	125000
6	Spectrogram 1	1	0.483	0.5598	25000	125000
7	Spectrogram 1	1	0.6323	0.7177	25000	125000
8	Spectrogram 1	1	0.7731	0.8115	25000	125000
9	Spectrogram 1	1	0.8798	0.9182	25000	125000
10	Spectrogram 1	1	1.2809	1.3491	25000	125000
11	Spectrogram 1	1	1.7374	1.7843	25000	125000
