Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0521	0.1502	25000	125000
2	Spectrogram 1	1	0.2014	0.3081	25000	125000
3	Spectrogram 1	1	0.3507	0.3977	25000	125000
4	Spectrogram 1	1	0.4915	0.5726	25000	125000
5	Spectrogram 1	1	0.6238	0.7262	25000	125000
6	Spectrogram 1	1	0.7731	0.8841	25000	125000
7	Spectrogram 1	1	0.9523	1.0675	25000	125000
8	Spectrogram 1	1	1.0931	1.2467	25000	125000
9	Spectrogram 1	1	1.2723	1.3875	25000	125000
10	Spectrogram 1	1	1.4217	1.5198	25000	125000
11	Spectrogram 1	1	1.5369	1.6691	25000	125000
12	Spectrogram 1	1	1.7203	1.827	25000	125000
13	Spectrogram 1	1	1.8739	1.955	25000	125000
