Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1758	25000	125000
2	Spectrogram 1	1	0.2057	0.3337	25000	125000
3	Spectrogram 1	1	0.3678	0.4275	25000	125000
4	Spectrogram 1	1	0.4659	0.5086	25000	125000
5	Spectrogram 1	1	0.7219	0.867	25000	125000
6	Spectrogram 1	1	0.8969	0.995	25000	125000
7	Spectrogram 1	1	1.0121	1.1145	25000	125000
8	Spectrogram 1	1	1.1486	1.2979	25000	125000
9	Spectrogram 1	1	1.3235	1.3961	25000	125000
10	Spectrogram 1	1	1.4558	1.5326	25000	125000
11	Spectrogram 1	1	1.5838	1.7118	25000	125000
12	Spectrogram 1	1	1.7374	1.8995	25000	125000
13	Spectrogram 1	1	1.9209	1.9678	25000	125000
