Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.1118	0.227	25000	125000
2	Spectrogram 1	1	0.2953	0.4062	25000	125000
3	Spectrogram 1	1	0.5001	0.5641	25000	125000
4	Spectrogram 1	1	0.6409	0.7134	25000	125000
5	Spectrogram 1	1	0.7646	0.8286	25000	125000
6	Spectrogram 1	1	0.8371	0.8798	25000	125000
7	Spectrogram 1	1	0.995	1.0761	25000	125000
8	Spectrogram 1	1	1.1785	1.2425	25000	125000
9	Spectrogram 1	1	1.3193	1.4387	25000	125000
10	Spectrogram 1	1	1.4899	1.6307	25000	125000
11	Spectrogram 1	1	1.6777	1.7289	25000	125000
12	Spectrogram 1	1	1.7843	1.8526	25000	125000
