Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0265	0.1459	25000	125000
2	Spectrogram 1	1	0.163	0.2825	25000	125000
3	Spectrogram 1	1	0.3123	0.3721	25000	125000
4	Spectrogram 1	1	0.3849	0.4531	25000	125000
5	Spectrogram 1	1	0.4745	0.5427	25000	125000
6	Spectrogram 1	1	0.5854	0.6665	25000	125000
7	Spectrogram 1	1	0.6878	0.7433	25000	125000
8	Spectrogram 1	1	0.7689	0.8457	25000	125000
9	Spectrogram 1	1	0.8798	0.9438	25000	125000
10	Spectrogram 1	1	1.1401	1.187	25000	125000
11	Spectrogram 1	1	1.2339	1.2979	25000	125000
12	Spectrogram 1	1	1.3363	1.4046	25000	125000
13	Spectrogram 1	1	1.4387	1.5283	25000	125000
14	Spectrogram 1	1	1.5411	1.6393	25000	125000
15	Spectrogram 1	1	1.6606	1.7801	25000	125000
16	Spectrogram 1	1	1.8057	1.8953	25000	125000
17	Spectrogram 1	1	1.9123	1.9763	25000	125000
