Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0435	25000	125000
2	Spectrogram 1	1	0.2057	0.2526	25000	125000
3	Spectrogram 1	1	0.3081	0.3721	25000	125000
4	Spectrogram 1	1	0.6195	0.6579	25000	125000
5	Spectrogram 1	1	0.7177	0.7689	25000	125000
6	Spectrogram 1	1	0.8243	0.8627	25000	125000
7	Spectrogram 1	1	0.9353	0.995	25000	125000
8	Spectrogram 1	1	1.0419	1.0846	25000	125000
9	Spectrogram 1	1	1.1486	1.2126	25000	125000
10	Spectrogram 1	1	1.2595	1.3235	25000	125000
11	Spectrogram 1	1	1.3662	1.4217	25000	125000
12	Spectrogram 1	1	1.4729	1.6051	25000	125000
13	Spectrogram 1	1	1.6393	1.7886	25000	125000
14	Spectrogram 1	1	1.8227	1.9251	25000	125000
15	Spectrogram 1	1	1.9635	1.9763	25000	125000
