Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0563	0.1203	25000	125000
2	Spectrogram 1	1	0.1801	0.3337	25000	125000
3	Spectrogram 1	1	0.3507	0.4105	25000	125000
4	Spectrogram 1	1	0.4489	0.5171	25000	125000
5	Spectrogram 1	1	0.5641	0.6281	25000	125000
6	Spectrogram 1	1	0.6963	0.7603	25000	125000
7	Spectrogram 1	1	0.8115	0.9566	25000	125000
8	Spectrogram 1	1	0.9822	1.0633	25000	125000
9	Spectrogram 1	1	1.1017	1.1785	25000	125000
10	Spectrogram 1	1	1.315	1.3833	25000	125000
11	Spectrogram 1	1	1.4089	1.4729	25000	125000
12	Spectrogram 1	1	1.7075	1.7886	25000	125000
13	Spectrogram 1	1	1.8185	1.8611	25000	125000
14	Spectrogram 1	1	1.9081	1.9593	25000	125000
