Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0905	25000	125000
2	Spectrogram 1	1	0.1331	0.2654	25000	125000
3	Spectrogram 1	1	0.2995	0.3763	25000	125000
4	Spectrogram 1	1	0.4275	0.5214	25000	125000
5	Spectrogram 1	1	0.5641	0.6366	25000	125000
6	Spectrogram 1	1	0.6793	0.7475	25000	125000
7	Spectrogram 1	1	0.803	0.9225	25000	125000
8	Spectrogram 1	1	0.9609	1.0889	25000	125000
9	Spectrogram 1	1	1.1273	1.1955	25000	125000
10	Spectrogram 1	1	1.2339	1.3449	25000	125000
11	Spectrogram 1	1	1.3662	1.4473	25000	125000
12	Spectrogram 1	1	1.4814	1.6009	25000	125000
13	Spectrogram 1	1	1.6307	1.7161	25000	125000
14	Spectrogram 1	1	1.7289	1.8099	25000	125000
15	Spectrogram 1	1	1.955	1.9763	25000	125000
