Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0606	25000	125000
2	Spectrogram 1	1	0.0905	0.2398	25000	125000
3	Spectrogram 1	1	0.2569	0.3891	25000	125000
4	Spectrogram 1	1	0.4105	0.5982	25000	125000
5	Spectrogram 1	1	0.6195	0.7859	25000	125000
6	Spectrogram 1	1	0.8414	0.931	25000	125000
7	Spectrogram 1	1	0.9779	1.0718	25000	125000
8	Spectrogram 1	1	1.1358	1.2809	25000	125000
9	Spectrogram 1	1	1.4473	1.5241	25000	125000
10	Spectrogram 1	1	1.5753	1.7374	25000	125000
11	Spectrogram 1	1	1.9379	1.9763	25000	125000
