Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1715	25000	125000
2	Spectrogram 1	1	0.2014	0.3678	25000	125000
3	Spectrogram 1	1	0.419	0.5641	25000	125000
4	Spectrogram 1	1	0.6281	0.7987	25000	125000
5	Spectrogram 1	1	1.0803	1.2425	25000	125000
6	Spectrogram 1	1	1.3406	1.4302	25000	125000
7	Spectrogram 1	1	1.4771	1.5198	25000	125000
8	Spectrogram 1	1	1.6094	1.699	25000	125000
9	Spectrogram 1	1	1.7459	1.7929	25000	125000
10	Spectrogram 1	1	1.827	1.9465	25000	125000
