Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.4659	0.5385	25000	125000
2	Spectrogram 1	1	0.5897	0.6409	25000	125000
3	Spectrogram 1	1	0.7774	0.8201	25000	125000
4	Spectrogram 1	1	0.8713	0.9481	25000	125000
5	Spectrogram 1	1	0.9779	1.1187	25000	125000
6	Spectrogram 1	1	1.4131	1.5283	25000	125000
7	Spectrogram 1	1	1.5539	1.6009	25000	125000
8	Spectrogram 1	1	1.6563	1.7118	25000	125000
9	Spectrogram 1	1	1.7758	1.8441	25000	125000
10	Spectrogram 1	1	1.9422	1.9763	25000	125000
