Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0307	0.0819	25000	125000
2	Spectrogram 1	1	0.1331	0.1801	25000	125000
3	Spectrogram 1	1	1.0078	1.1486	25000	125000
4	Spectrogram 1	1	1.1742	1.2382	25000	125000
5	Spectrogram 1	1	1.2595	1.3235	25000	125000
6	Spectrogram 1	1	1.3491	1.4174	25000	125000
7	Spectrogram 1	1	1.4473	1.4942	25000	125000
8	Spectrogram 1	1	1.5326	1.5795	25000	125000
9	Spectrogram 1	1	1.6265	1.6905	25000	125000
10	Spectrogram 1	1	1.9081	1.9721	25000	125000
