Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0265	0.1886	25000	125000
2	Spectrogram 1	1	0.2142	0.3977	25000	125000
3	Spectrogram 1	1	0.4275	0.6153	25000	125000
4	Spectrogram 1	1	0.6409	0.803	25000	125000
5	Spectrogram 1	1	0.8201	0.9481	25000	125000
6	Spectrogram 1	1	0.9609	1.1998	25000	125000
7	Spectrogram 1	1	1.2169	1.3321	25000	125000
8	Spectrogram 1	1	1.3619	1.4174	25000	125000
9	Spectrogram 1	1	1.443	1.5155	25000	125000
10	Spectrogram 1	1	1.5667	1.635	25000	125000
11	Spectrogram 1	1	1.6777	1.8611	25000	125000
12	Spectrogram 1	1	1.8739	1.9763	25000	125000
