Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0521	0.1246	25000	125000
2	Spectrogram 1	1	0.2099	0.4702	25000	125000
3	Spectrogram 1	1	0.5043	0.6025	25000	125000
4	Spectrogram 1	1	0.6409	0.7603	25000	125000
5	Spectrogram 1	1	0.8115	0.9139	25000	125000
6	Spectrogram 1	1	0.9481	1.0931	25000	125000
7	Spectrogram 1	1	1.1443	1.3278	25000	125000
8	Spectrogram 1	1	1.379	1.5454	25000	125000
9	Spectrogram 1	1	1.5923	1.7033	25000	125000
10	Spectrogram 1	1	1.7246	1.8057	25000	125000
11	Spectrogram 1	1	1.8355	1.9763	25000	125000
