Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.1118	0.1673	25000	125000
2	Spectrogram 1	1	0.1929	0.2483	25000	125000
3	Spectrogram 1	1	0.291	0.3294	25000	125000
4	Spectrogram 1	1	0.3891	0.4617	25000	125000
5	Spectrogram 1	1	0.5214	0.5769	25000	125000
6	Spectrogram 1	1	0.6366	0.6963	25000	125000
7	Spectrogram 1	1	0.7561	0.8329	25000	125000
8	Spectrogram 1	1	0.9438	0.9993	25000	125000
9	Spectrogram 1	1	1.059	1.1017	25000	125000
10	Spectrogram 1	1	1.2723	1.3107	25000	125000
11	Spectrogram 1	1	1.3833	1.4345	25000	125000
12	Spectrogram 1	1	1.4942	1.5369	25000	125000
