Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0563	0.1118	25000	125000
2	Spectrogram 1	1	0.163	0.2099	25000	125000
3	Spectrogram 1	1	0.2654	0.3209	25000	125000
4	Spectrogram 1	1	0.3934	0.4531	25000	125000
5	Spectrogram 1	1	0.5129	0.5598	25000	125000
6	Spectrogram 1	1	0.6067	0.6494	25000	125000
7	Spectrogram 1	1	0.7945	0.8542	25000	125000
8	Spectrogram 1	1	0.9353	1.0035	25000	125000
9	Spectrogram 1	1	1.0505	1.0974	25000	125000
10	Spectrogram 1	1	1.2297	1.2766	25000	125000
11	Spectrogram 1	1	1.3278	1.3747	25000	125000
12	Spectrogram 1	1	1.4217	1.4857	25000	125000
13	Spectrogram 1	1	1.6307	1.699	25000	125000
14	Spectrogram 1	1	1.8355	1.8867	25000	125000
15	Spectrogram 1	1	1.9379	1.9763	25000	125000
