Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.035	0.1673	25000	125000
2	Spectrogram 1	1	0.1886	0.355	25000	125000
3	Spectrogram 1	1	0.4958	0.6366	25000	125000
4	Spectrogram 1	1	0.6494	0.8201	25000	125000
5	Spectrogram 1	1	0.8414	1.0078	25000	125000
6	Spectrogram 1	1	1.0334	1.2254	25000	125000
7	Spectrogram 1	1	1.251	1.4345	25000	125000
8	Spectrogram 1	1	1.4515	1.6179	25000	125000
9	Spectrogram 1	1	1.635	1.7118	25000	125000
10	Spectrogram 1	1	1.7502	1.8611	25000	125000
