Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.2142	25000	125000
2	Spectrogram 1	1	0.2355	0.3891	25000	125000
3	Spectrogram 1	1	0.4105	0.5641	25000	125000
4	Spectrogram 1	1	0.5939	0.7859	25000	125000
5	Spectrogram 1	1	0.8201	1.0377	25000	125000
6	Spectrogram 1	1	1.0761	1.251	25000	125000
7	Spectrogram 1	1	1.2809	1.4515	25000	125000
8	Spectrogram 1	1	1.4771	1.6734	25000	125000
9	Spectrogram 1	1	1.699	1.8611	25000	125000
10	Spectrogram 1	1	1.8867	1.9635	25000	125000
