Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0691	0.2057	25000	125000
2	Spectrogram 1	1	0.227	0.3209	25000	125000
3	Spectrogram 1	1	0.3379	0.4702	25000	125000
4	Spectrogram 1	1	0.4958	0.5598	25000	125000
5	Spectrogram 1	1	0.6067	0.6707	25000	125000
6	Spectrogram 1	1	0.6963	0.803	25000	125000
7	Spectrogram 1	1	0.8329	0.9694	25000	125000
8	Spectrogram 1	1	0.9907	1.059	25000	125000
9	Spectrogram 1	1	1.0974	1.1486	25000	125000
10	Spectrogram 1	1	1.187	1.2681	25000	125000
11	Spectrogram 1	1	1.4089	1.5625	25000	125000
12	Spectrogram 1	1	1.5838	1.6777	25000	125000
13	Spectrogram 1	1	1.699	1.8313	25000	125000
14	Spectrogram 1	1	1.8569	1.9379	25000	125000
