Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.1545	0.227	25000	125000
2	Spectrogram 1	1	0.291	0.3849	25000	125000
3	Spectrogram 1	1	0.419	0.5641	25000	125000
4	Spectrogram 1	1	0.6067	0.6707	25000	125000
5	Spectrogram 1	1	0.7006	0.7603	25000	125000
6	Spectrogram 1	1	0.8073	0.8841	25000	125000
7	Spectrogram 1	1	0.9225	0.995	25000	125000
8	Spectrogram 1	1	1.0291	1.1017	25000	125000
9	Spectrogram 1	1	1.4601	1.5155	25000	125000
10	Spectrogram 1	1	1.5838	1.6521	25000	125000
