Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1459	25000	125000
2	Spectrogram 1	1	0.1758	0.2995	25000	125000
3	Spectrogram 1	1	0.3209	0.4403	25000	125000
4	Spectrogram 1	1	0.4659	0.5683	25000	125000
5	Spectrogram 1	1	0.5939	0.7561	25000	125000
6	Spectrogram 1	1	0.7817	0.8499	25000	125000
7	Spectrogram 1	1	0.8713	1.0206	25000	125000
8	Spectrogram 1	1	1.059	1.1699	25000	125000
9	Spectrogram 1	1	1.1998	1.3235	25000	125000
10	Spectrogram 1	1	1.3662	1.507	25000	125000
11	Spectrogram 1	1	1.5283	1.5966	25000	125000
12	Spectrogram 1	1	1.6222	1.7075	25000	125000
13	Spectrogram 1	1	1.7374	1.8014	25000	125000
14	Spectrogram 1	1	1.8227	1.8739	25000	125000
15	Spectrogram 1	1	1.9209	1.9763	25000	125000
